[1] 2017-01-21 00:16:35  -37.8659 -71.4278   7.8   M 1.2    8 ph  GAP 236  RMS 0.2 s  ERR  5.5 km xyz(  4.5 km,  5.1 km,  6.5 km) [MANUAL]
[3] 2017-02-04 09:12:10  -38.1257 -71.4217   6.2   M 2.1   10 ph  GAP 159  RMS 0.3 s  ERR  4.1 km xyz(  3.1 km,  1.7 km,  6.1 km) [MANUAL]
[5] 2017-02-04 09:41:10  -38.1268 -71.4230   6.2   M 2.8   10 ph  GAP 159  RMS 0.2 s  ERR  3.9 km xyz(  2.9 km,  1.5 km,  6.0 km) [MANUAL]
[7] 2017-02-04 09:51:52  -38.1268 -71.4136   9.1   M 2.5   10 ph  GAP 162  RMS 0.3 s  ERR  3.9 km xyz(  3.0 km,  1.6 km,  5.8 km) [MANUAL]
[9] 2017-02-04 10:50:29  -38.1268 -71.4149   9.1   M 1.8   10 ph  GAP 162  RMS 0.2 s  ERR  3.9 km xyz(  3.0 km,  1.6 km,  5.9 km) [MANUAL]
[11] 2017-02-04 15:01:52  -38.1279 -71.4217   6.2   M 2.3   10 ph  GAP 159  RMS 0.2 s  ERR  3.8 km xyz(  2.9 km,  1.5 km,  5.7 km) [MANUAL]
[13] 2017-02-05 03:45:20  -38.1273 -71.4129   9.0   M 1.4   10 ph  GAP 163  RMS 0.3 s  ERR  4.2 km xyz(  3.5 km,  2.0 km,  6.1 km) [MANUAL]
[15] 2017-02-08 08:21:47  -38.1294 -71.4047   9.7   M 1.2    8 ph  GAP 182  RMS 0.3 s  ERR  5.3 km xyz(  3.8 km,  5.1 km,  6.5 km) [MANUAL]
[17] 2017-02-10 02:07:16  -38.1422 -71.3911  10.1   M 1.3    8 ph  GAP 192  RMS 0.5 s  ERR  5.9 km xyz(  4.1 km,  6.2 km,  7.1 km) [MANUAL]
[20] 2017-04-03 11:08:47  -37.8737 -71.2330   9.0   M 1.8    8 ph  GAP 283  RMS 0.2 s  ERR  5.8 km xyz(  4.2 km,  4.4 km,  8.1 km) [MANUAL]
[22] 2017-04-18 16:18:02  -37.8376 -71.3090  10.5   M 1.7    8 ph  GAP 267  RMS 0.2 s  ERR  5.4 km xyz(  2.9 km,  4.1 km,  8.0 km) [MANUAL]
[24] 2017-04-25 09:52:20  -38.5844 -71.5912  11.1   M 2.2    8 ph  GAP 306  RMS 0.1 s  ERR 10.3 km xyz( 11.2 km,  7.0 km, 12.1 km) [MANUAL]
[26] 2017-04-26 02:49:27  -37.9526 -71.8036   8.2   M 1.9    8 ph  GAP 270  RMS 0.2 s  ERR 11.8 km xyz(  9.4 km, 10.5 km, 14.8 km) [MANUAL]
[27] 2017-05-11 05:32:47  -37.8717 -71.2601   9.0   M 2.0    8 ph  GAP 269  RMS 0.3 s  ERR  5.8 km xyz(  4.2 km,  4.1 km,  8.2 km) [MANUAL]
[29] 2017-05-20 18:10:08  -37.8696 -71.2655   9.0   M 2.2    8 ph  GAP 267  RMS 0.2 s  ERR  4.5 km xyz(  3.0 km,  3.8 km,  6.1 km) [MANUAL]
[32] 2017-05-21 14:54:29  -38.3950 -71.5010  13.2   M 2.2   12 ph  GAP 220  RMS 0.2 s  ERR  4.8 km xyz(  4.9 km,  4.6 km,  5.0 km) [MANUAL]
