 _____________________________________ 
< HOLA, ESTO ESTA EN DESARROLLO AUN!! >
 ------------------------------------- 
        \   ^__^
         \  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||
Conecting to SQL database...
 Database: BetaGema     (IP 192.168.1.19:3306)

[1] 2017-01-21 00:16:35  -37.8659 -71.4278   7.8   M 1.2    8 ph  GAP 236  RMS 0.2 s  ERR  5.5 km xyz(  4.5 km,  5.1 km,  6.5 km) [MANUAL]
[2] 2017-01-21 00:16:36  -37.8807 -71.4138  -1.0   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[3] 2017-02-04 09:12:10  -38.1257 -71.4217   6.2   M 2.1   10 ph  GAP 159  RMS 0.3 s  ERR  4.1 km xyz(  3.1 km,  1.7 km,  6.1 km) [MANUAL]
[4] 2017-02-04 09:12:11  -38.0791 -71.3900  10.5   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[5] 2017-02-04 09:41:10  -38.1268 -71.4230   6.2   M 2.8   10 ph  GAP 159  RMS 0.2 s  ERR  3.9 km xyz(  2.9 km,  1.5 km,  6.0 km) [MANUAL]
[6] 2017-02-04 09:41:11  -38.0791 -71.3900   9.7   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[7] 2017-02-04 09:51:52  -38.1268 -71.4136   9.1   M 2.5   10 ph  GAP 162  RMS 0.3 s  ERR  3.9 km xyz(  3.0 km,  1.6 km,  5.8 km) [MANUAL]
[8] 2017-02-04 09:51:53  -38.0834 -71.3868  11.7   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[9] 2017-02-04 10:50:29  -38.1268 -71.4149   9.1   M 1.8   10 ph  GAP 162  RMS 0.2 s  ERR  3.9 km xyz(  3.0 km,  1.6 km,  5.9 km) [MANUAL]
[10] 2017-02-04 10:50:30  -38.0878 -71.3866  11.2   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[11] 2017-02-04 15:01:52  -38.1279 -71.4217   6.2   M 2.3   10 ph  GAP 159  RMS 0.2 s  ERR  3.8 km xyz(  2.9 km,  1.5 km,  5.7 km) [MANUAL]
[12] 2017-02-04 15:01:53  -38.0757 -71.3856  11.3   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[13] 2017-02-05 03:45:20  -38.1273 -71.4129   9.0   M 1.4   10 ph  GAP 163  RMS 0.3 s  ERR  4.2 km xyz(  3.5 km,  2.0 km,  6.1 km) [MANUAL]
[14] 2017-02-05 03:45:21  -38.0834 -71.3868  10.2   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[15] 2017-02-08 08:21:47  -38.1294 -71.4047   9.7   M 1.2    8 ph  GAP 182  RMS 0.3 s  ERR  5.3 km xyz(  3.8 km,  5.1 km,  6.5 km) [MANUAL]
[16] 2017-02-08 08:21:48  -38.0813 -71.3899  10.5   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
